StudentID,Technique,Score,PriorGPA
1001,Standard,85,3.5
1002,Mnemonics,92,3.7
1003,Self-testing,89,3.2
1004,Group Study,87,3.6
1005,Standard,78,3.1
1006,Mnemonics,91,3.8
1007,Self-testing,84,3.4
1008,Group Study,88,3.9
1009,Standard,82,3.7
1010,Mnemonics,98,3.1
1011,Self-testing,87,3.5
1012,Group Study,95,3.8
1013,Standard,89,3.2
1014,Mnemonics,85,3.7
1015,Self-testing,93,3.4
1016,Group Study,77,3.9
1017,Standard,96,3.6
1018,Mnemonics,79,3
1019,Self-testing,83,3.3
1020,Group Study,88,3.5
1021,Standard,91,3.8
1022,Mnemonics,100,3.7
1023,Self-testing,76,3.4
1024,Group Study,92,3.2
1025,Standard,81,3.9
1026,Mnemonics,86,3.1
1027,Self-testing,97,3.6
1028,Group Study,78,3.3
1029,Standard,90,3.8
1030,Mnemonics,84,3.7
1031,Self-testing,94,3.5
1032,Group Study,82,3.2
1033,Standard,89,3.9
1034,Mnemonics,99,3.4
1035,Self-testing,76,3
1036,Group Study,91,3.6
1037,Standard,95,3.8
1038,Mnemonics,88,3.3
1039,Self-testing,80,3.5
1040,Group Study,82,3.1
1041,Standard,85,3.7
1042,Mnemonics,97,3.9
1043,Self-testing,87,3.4
1044,Group Study,100,3.2
1045,Standard,96,3.8
1046,Mnemonics,77,3.6
1047,Self-testing,84,3.3
1048,Group Study,93,3.5
1049,Standard,78,3.7
1050,Mnemonics,89,3.2
1051,Self-testing,86,3.9
1052,Group Study,95,3
1053,Standard,83,3.4
1054,Mnemonics,92,3.1
1055,Self-testing,79,3.6
1056,Group Study,88,3.5
1057,Standard,98,3.8
1058,Mnemonics,91,3.7
1059,Self-testing,81,3.9
1060,Group Study,85,3.5
1061,Standard,92,3.7
1062,Mnemonics,89,3.2
1063,Self-testing,87,3.6
1064,Group Study,78,3.1
1065,Standard,91,3.8
1066,Mnemonics,84,3.4
1067,Self-testing,88,3.9
1068,Group Study,82,3.7
1069,Standard,98,3.1
1070,Mnemonics,87,3.5
1071,Self-testing,95,3.8
1072,Group Study,89,3.2
1073,Standard,85,3.7
1074,Mnemonics,93,3.4
1075,Self-testing,77,3.9
1076,Group Study,96,3.6
1077,Standard,79,3
1078,Mnemonics,83,3.3
1079,Self-testing,88,3.5
1080,Group Study,91,3.8
1081,Standard,100,3.7
1082,Mnemonics,76,3.4
1083,Self-testing,92,3.2
1084,Group Study,81,3.9
1085,Standard,86,3.1
1086,Mnemonics,97,3.6
1087,Self-testing,78,3.3
1088,Group Study,90,3.8
1089,Standard,84,3.7
1090,Mnemonics,94,3.5
1091,Self-testing,82,3.2
1092,Group Study,89,3.9
1093,Standard,99,3.4
1094,Mnemonics,76,3
1095,Self-testing,91,3.6
